Dataset,City,Model,MAE,MSE,RMSE,R2
Kupno (Sale),Bialystok,Linear Regression,62007.54075658609,6112028042.519866,78179.46049007928,0.554852575889173
Kupno (Sale),Bialystok,Random Forest,20298.79558428302,1369094864.6640542,37001.2819327122,0.9002869345283139
Kupno (Sale),Bialystok,Gradient Boosting,40989.637963114204,2964546695.358651,54447.65096272429,0.7840879793229648
Kupno (Sale),Bialystok,KNN,43714.34279918864,4303494393.677971,65601.02433406029,0.6865705735159988
Kupno (Sale),Bialystok,SVR,94386.77119193182,14422436535.691822,120093.44917892825,-0.050405925594904755
Kupno (Sale),Bydgoszcz,Linear Regression,69017.34561396879,8578271320.901511,92618.95767552943,0.6872552828829557
Kupno (Sale),Bydgoszcz,Random Forest,21516.657963572878,1512897313.7045546,38895.98068829933,0.944843124599148
Kupno (Sale),Bydgoszcz,Gradient Boosting,55702.73972426314,5765858654.879784,75933.25131245062,0.789789601366009
Kupno (Sale),Bydgoszcz,KNN,37725.168272251314,3973426193.078304,63035.118728200265,0.8551377073243315
Kupno (Sale),Bydgoszcz,SVR,128603.49497183805,29039011636.067074,170408.36727129063,-0.05869785878093747
Kupno (Sale),Czestochowa,Linear Regression,46698.71950465124,3674210838.5798764,60615.2690217562,0.7672667906514422
Kupno (Sale),Czestochowa,Random Forest,20755.025789190648,1333105096.1561615,36511.711766995555,0.9155579684841223
Kupno (Sale),Czestochowa,Gradient Boosting,34765.3003662492,2068359076.5856888,45479.21587478932,0.8689852414226006
Kupno (Sale),Czestochowa,KNN,32415.33721804511,2590113913.2869925,50893.161753687426,0.8359360553596796
Kupno (Sale),Czestochowa,SVR,91850.64428377898,16680270111.703646,129152.12004339551,-0.05656778188539491
Kupno (Sale),Gdansk,Linear Regression,163704.74904130312,51319463724.725975,226537.9962053297,0.5859419534541361
Kupno (Sale),Gdansk,Random Forest,37958.185894543385,6819948404.582037,82582.978903537,0.9449749800759459
Kupno (Sale),Gdansk,Gradient Boosting,120994.05072296831,30359160817.73597,174238.80399536714,0.7550548288970724
Kupno (Sale),Gdansk,KNN,60905.09677251431,13733179947.033222,117188.65110168826,0.8891973288685847
Kupno (Sale),Gdansk,SVR,253102.2190339074,132375350529.28955,363834.2349604962,-0.06803686306981738
Kupno (Sale),Gdynia,Linear Regression,190423.40482304015,83828552313.5426,289531.6084878171,0.5814746094762648
Kupno (Sale),Gdynia,Random Forest,38837.659104498925,7952915607.863635,89179.12091887672,0.9602939926943518
Kupno (Sale),Gdynia,Gradient Boosting,114081.24531691032,32361806038.846947,179893.8743783316,0.8384293043758826
Kupno (Sale),Gdynia,KNN,69864.23551745254,21784327271.24573,147595.14650301254,0.8912387983942069
Kupno (Sale),Gdynia,SVR,286753.7606935986,215907555655.267,464658.53662153566,-0.07794768672209917
Kupno (Sale),Katowice,Linear Regression,105543.18071233008,19463731318.579315,139512.47728636788,0.5425632122531481
Kupno (Sale),Katowice,Random Forest,31832.865306519234,3773219508.5500135,61426.53749439255,0.9113217613208988
Kupno (Sale),Katowice,Gradient Boosting,76146.87360888631,10574114983.960905,102830.51582074702,0.7514870549558126
Kupno (Sale),Katowice,KNN,55317.350993377484,8206961027.660247,90592.27907311001,0.8071199284346405
Kupno (Sale),Katowice,SVR,158636.60292254153,44858830582.95574,211799.03347974876,-0.05427263807119309
